Montigny-lès-Metz,FR,4.07,5.64,0.47
city,country,temp,temp_max,temp_min
Millau,FR,-0.62,-0.62,-0.62
city,country,temp,temp_max,temp_min
Meyzieu,FR,-0.66,1.94,-1.11
city,country,temp,temp_max,temp_min
Meylan,FR,0.91,2.75,-1.14
city,country,temp,temp_max,temp_min
Mayenne,FR,4.95,4.95,4.95
city,country,temp,temp_max,temp_min
Mauguio,FR,0.29,2.05,-0.06
city,country,temp,temp_max,temp_min
Lucé,FR,4.21,4.86,3.33
city,country,temp,temp_max,temp_min
Louviers,FR,5.72,6.36,4.55
city,country,temp,temp_max,temp_min
Lingolsheim,FR,1.34,2.41,-0.38
city,country,temp,temp_max,temp_min
Les Herbiers,FR,1.15,3.92,0.84
city,country,temp,temp_max,temp_min
Le Puy-en-Velay,FR,-2.55,-2.55,-2.55
city,country,temp,temp_max,temp_min
Le Pontet,FR,-0.22,1.96,-1.94
city,country,temp,temp_max,temp_min
Le Bouscat,FR,0.22,0.22,0.06
city,country,temp,temp_max,temp_min
Lattes,FR,0,2.08,-0.02
city,country,temp,temp_max,temp_min
Lanester,FR,5.34,6.12,4.44
city,country,temp,temp_max,temp_min
La Crau,FR,6.58,8.57,3.22
city,country,temp,temp_max,temp_min
La Chapelle-sur-Erdre,FR,4.14,4.4,1.32
city,country,temp,temp_max,temp_min
Hautmont,FR,4.89,6.37,4.24
city,country,temp,temp_max,temp_min
Fleury-les-Aubrais,FR,3.69,4.71,2.18
city,country,temp,temp_max,temp_min
Firminy,FR,-1.86,-1.72,-3.08
city,country,temp,temp_max,temp_min
Dole,FR,0.75,0.95,0
city,country,temp,temp_max,temp_min
Cran-Gevrier,FR,-1,1.29,-3.27
city,country,temp,temp_max,temp_min
Coulommiers,FR,5.04,5.88,3.97
city,country,temp,temp_max,temp_min
Couëron,FR,4.06,4.45,1.38
city,country,temp,temp_max,temp_min
Coudekerque-Branche,FR,6.46,6.99,5.99
city,country,temp,temp_max,temp_min
Châtellerault,FR,1.79,2.74,1.4
city,country,temp,temp_max,temp_min
Cesson-Sévigné,FR,4.93,5.39,4.18
city,country,temp,temp_max,temp_min
Cavaillon,FR,-0.92,1.64,-2.25
city,country,temp,temp_max,temp_min
Carvin,FR,6.61,7.15,5.51
city,country,temp,temp_max,temp_min
Carquefou,FR,4.28,4.52,1.44
city,country,temp,temp_max,temp_min
Canteleu,FR,5.28,5.76,4.55
city,country,temp,temp_max,temp_min
Bruay-la-Buissière,FR,6.3,6.96,5.32
city,country,temp,temp_max,temp_min
Bourg-lès-Valence,FR,1.17,2.34,0.47
city,country,temp,temp_max,temp_min
Pantine,FR,9.9,11.01,6.81
city,country,temp,temp_max,temp_min
Languedoc-Roussillon Region,FR,2.13,4.64,-1.5
city,country,temp,temp_max,temp_min
Marseille,FR,2.72,8.55,-0.29
city,country,temp,temp_max,temp_min
Arrondissement de Bayonne,FR,7.97,10.05,2.2
city,country,temp,temp_max,temp_min
Arrondissement de Digne-les-Bains,FR,0.46,1.62,0.46
city,country,temp,temp_max,temp_min
Arrondissement de Mont-de-Marsan,FR,2.01,8.58,-1.1
city,country,temp,temp_max,temp_min
Centre-Val de Loire,FR,3.01,4.16,2.31
city,country,temp,temp_max,temp_min
Cher,FR,1.4,2.09,0.68
city,country,temp,temp_max,temp_min
Arrondissement de Bourges,FR,1.48,2.71,0.36
city,country,temp,temp_max,temp_min
Arrondissement de Laon,FR,6.14,6.14,5.37
city,country,temp,temp_max,temp_min
Audignicourt,FR,5.26,5.53,4.97
city,country,temp,temp_max,temp_min
Béthencourt-sur-Mer,FR,5.49,6.39,5.24
city,country,temp,temp_max,temp_min
Andrézieux-Bouthéon,FR,-1.24,-0.69,-2.33
city,country,temp,temp_max,temp_min
Saint-Sandoux,FR,-4.38,-4.38,-4.38
city,country,temp,temp_max,temp_min
Ambacourt,FR,2.42,3.64,-2.97
city,country,temp,temp_max,temp_min
Essonne,FR,4.3,5,3.54
city,country,temp,temp_max,temp_min
Arrondissement de Romorantin-Lanthenay,FR,2.78,4.05,1.27
city,country,temp,temp_max,temp_min
Kerfeunteun,FR,4.38,5.27,3.31
city,country,temp,temp_max,temp_min
Arrondissement de Dax,FR,5.39,10.08,-0.99
city,country,temp,temp_max,temp_min
Deux-Sèvres,FR,0.19,1.23,-0.2
city,country,temp,temp_max,temp_min
Arrondissement de Niort,FR,0.62,1.77,0.35
city,country,temp,temp_max,temp_min
Hautes-Alpes,FR,-8.57,-1.8,-8.7
city,country,temp,temp_max,temp_min
Le Fango,FR,10.72,11.99,7.79
city,country,temp,temp_max,temp_min
Arrondissement de Dinan,FR,4.1,5.26,3.56
city,country,temp,temp_max,temp_min
Arrondissement de La Rochelle,FR,1.95,2.05,0.85
city,country,temp,temp_max,temp_min
Saint-Médard-d'Aunis,FR,1.77,1.9,0.7
city,country,temp,temp_max,temp_min
Saint-Médard-d'Aunis,FR,1.83,1.95,0.75
city,country,temp,temp_max,temp_min
Arrondissement d'Amiens,FR,5.41,6.46,4.78
city,country,temp,temp_max,temp_min
Arrondissement de Strasbourg,FR,1.26,2.55,-0.41
city,country,temp,temp_max,temp_min
Arrondissement de Nanterre,FR,5.05,6.02,4.03
city,country,temp,temp_max,temp_min
Arrondissement d'Argentan,FR,5.47,5.47,5.47
city,country,temp,temp_max,temp_min
Arrondissement de Créteil,FR,5.23,6.11,4.2
city,country,temp,temp_max,temp_min
Arrondissement de Saint-Denis,FR,5.26,6.09,4.18
city,country,temp,temp_max,temp_min
Juan-les-Pins,FR,6.27,11.24,3.01
city,country,temp,temp_max,temp_min
Tarbes,FR,0.56,5.24,0.36
city,country,temp,temp_max,temp_min
Arrondissement de Perpignan,FR,2.38,4.68,1.8
city,country,temp,temp_max,temp_min
Arrondissement de Caen,FR,6.1,6.12,5.25
city,country,temp,temp_max,temp_min
Brie-Comte-Robert,FR,4.89,5.84,3.93
city,country,temp,temp_max,temp_min
Arrondissement du Mans,FR,3.56,3.99,3.56
city,country,temp,temp_max,temp_min
Loos,FR,6.54,7.14,5.6
city,country,temp,temp_max,temp_min
Aubière,FR,-2.39,-0.54,-2.39
city,country,temp,temp_max,temp_min
Viale,FR,-0.83,0.21,-0.83
city,country,temp,temp_max,temp_min
Ville-d'Avray,FR,4.25,5.31,3.32
city,country,temp,temp_max,temp_min
Arrondissement de Fontainebleau,FR,4.72,5.82,3.91
city,country,temp,temp_max,temp_min
Montreuil,FR,4.86,5.7,3.71
city,country,temp,temp_max,temp_min
Chamalières,FR,-2.55,-0.72,-2.56
city,country,temp,temp_max,temp_min
Arrondissement de Nevers,FR,-0.08,1.33,-0.08
city,country,temp,temp_max,temp_min
Rambouillet,FR,4.03,5.31,3.32
city,country,temp,temp_max,temp_min
La Seyne-sur-Mer,FR,7.55,8.82,-0.02
city,country,temp,temp_max,temp_min
Mondeville,FR,6.29,6.32,5.44
city,country,temp,temp_max,temp_min
Arrondissement de Châteaudun,FR,4.04,4.51,2.93
city,country,temp,temp_max,temp_min
Arrondissement de Saverne,FR,2.27,4.9,-1.34
city,country,temp,temp_max,temp_min
Guérande,FR,3.84,5.93,3.62
city,country,temp,temp_max,temp_min
Montpeloux,FR,-4.82,-4.81,-6.28
city,country,temp,temp_max,temp_min
Bruges,FR,0.18,0.18,0.02
city,country,temp,temp_max,temp_min
Lacanau,FR,0.16,0.16,0.01
city,country,temp,temp_max,temp_min
Gavray-sur-Sienne,FR,6.49,7.4,5.01
city,country,temp,temp_max,temp_min
